------------------------------------------------------ 1000 random configurations ---------------------------------------------------
			 rotation matrix 00-22						|		transition xyz	
-------------------------------------------------------------------------------------------------------------------------------------
-0.0330798 0.775602 -0.630355 -0.521704 -0.551357 -0.651023 -0.852485 0.307323 0.422873 	|	-0.407239 -0.580989 0.849821 
0.798267 0.602228 -0.00954589 0.296935 -0.379707 0.876158 0.524022 -0.702243 -0.48193 	|	-0.00376314 1.00718 -0.114113 
-0.242234 0.969712 0.0313311 0.211479 0.021256 0.977151 0.946889 0.243325 -0.210223 	|	-0.0829992 0.955187 -0.15681 
-0.879198 -0.302017 -0.368506 -0.476361 0.572693 0.66716 0.00954692 0.762108 -0.647379 	|	-0.248367 0.83847 -0.0115514 
0.943211 0.0543932 0.327712 -0.0565955 -0.94577 0.319869 0.327339 -0.320251 -0.888982 	|	0.34335 0.414917 -0.192243 
0.0693068 0.647317 -0.759063 -0.470238 -0.64986 -0.597126 -0.879814 0.398325 0.259353 	|	0.432312 -0.181207 0.549686 
-0.245484 -0.877871 0.411192 0.832837 -0.408065 -0.373986 0.496104 0.250649 0.831298 	|	0.312371 -0.400443 1.21204 
-0.244323 -0.54113 -0.804664 0.317969 0.739225 -0.593669 0.91608 -0.400906 -0.00854673 	|	-0.43144 -0.145017 -0.0228256 
-0.337822 0.905552 0.256615 0.040186 -0.258518 0.96517 0.940352 0.336368 0.0509425 	|	0.885973 0.167666 0.0921278 
0.170906 0.549393 0.817899 -0.581819 0.726201 -0.366223 -0.795159 -0.413279 0.443759 	|	0.868371 -0.158157 0.875405 
-0.666347 0.671125 0.32492 -0.106271 -0.516789 0.849491 0.73803 0.531527 0.415682 	|	0.385342 0.657416 0.533475 
-0.481553 -0.20062 -0.853146 0.787807 0.327442 -0.521672 0.384013 -0.923327 0.000368999 	|	0.340995 -0.379854 0.559614 
-0.0797173 -0.720294 0.689073 -0.557561 0.605242 0.568162 -0.8263 -0.338908 -0.449856 	|	0.767998 0.220051 0.42956 
0.60624 -0.792816 0.0625788 0.135738 0.180684 0.97413 -0.783613 -0.582062 0.217153 	|	-0.0130248 0.343306 0.755506 
0.866647 -0.120888 0.484056 -0.490757 -0.0317323 0.870719 -0.0898991 -0.992159 -0.0868272 	|	0.545869 0.807151 0.546291 
0.306627 -0.748378 0.588141 -0.841457 -0.501945 -0.200004 0.444893 -0.433569 -0.783638 	|	0.94622 -0.211826 -0.254705 
0.853949 0.372158 -0.363688 -0.348791 -0.10929 -0.930806 -0.386154 0.921713 0.0364776 	|	-0.0834089 -0.410347 1.00262 
0.0442874 -0.517967 0.854253 -0.736472 0.560841 0.378241 -0.675017 -0.645885 -0.35663 	|	0.697085 0.262651 0.631163 
0.32696 0.920753 0.212863 0.942807 -0.333274 -0.00656487 0.064897 0.202835 -0.97706 	|	0.46981 -0.31313 -0.612459 
0.0446163 -0.314023 0.948366 -0.831581 -0.537746 -0.138936 0.553609 -0.782444 -0.285128 	|	0.430881 0.108693 0.934525 
0.758898 -0.430901 0.48826 -0.641203 -0.363505 0.675813 -0.113723 -0.825947 -0.552158 	|	0.246748 0.482814 0.77858 
-0.155149 -0.23732 0.958962 0.944605 0.248556 0.214338 -0.289223 0.939095 0.185611 	|	0.755773 0.647988 0.634533 
-0.554822 -0.333948 -0.762005 0.511192 -0.859455 0.00445251 -0.656396 -0.38706 0.647556 	|	-0.422612 -0.330881 0.842442 
0.672361 0.731773 0.111531 -0.722509 0.616012 0.313863 0.160972 -0.291611 0.942895 	|	0.505056 0.206027 1.14664 
0.0869581 0.963788 -0.252092 -0.994569 0.0985144 0.0335636 0.0571829 0.247805 0.967121 	|	0.0614048 0.0357271 1.29378 
0.906283 -0.197499 -0.373691 0.387787 0.740234 0.549249 0.168143 -0.642688 0.747449 	|	-0.00368992 0.707583 0.837519 
-0.858799 -0.472137 -0.198873 -0.228166 0.00492114 0.97361 -0.458699 0.881511 -0.111952 	|	0.285338 0.567037 0.908354 
-0.269937 0.962876 -0.00204458 0.693474 0.195884 0.693343 0.668003 0.185741 -0.720605 	|	0.79882 0.358618 0.0872333 
0.774327 -0.606673 -0.179902 -0.122035 -0.422134 0.898282 -0.620907 -0.67361 -0.400905 	|	-0.327825 0.559469 0.250012 
-0.392153 -0.271023 -0.879069 -0.686669 -0.54965 0.475783 -0.612129 0.79021 0.029444 	|	-0.718287 -0.0222458 0.644827 
0.595812 -0.426182 0.680718 -0.485882 -0.866158 -0.117003 0.639473 -0.261036 -0.723142 	|	0.638636 -0.136288 0.0915454 
-0.429977 -0.708745 0.559286 -0.0678917 0.643102 0.762765 -0.900284 0.29 -0.324637 	|	0.435749 -0.158583 0.370162 
-0.818183 -0.449664 -0.358299 0.549045 -0.426071 -0.719036 0.170664 -0.785026 0.59549 	|	0.560082 -0.0710245 0.684967 
